product_id,customer_id,name_category,base_price,rating,age,gender,location,membership_level
PROD-1001,CUST-83942,Electronics,511.8782034454471,3.025557461406518,42.0,Male,Da Nang,Bronze
PROD-4804,CUST-20980,Clothing,40.5,4.9,69.0,Other,Can Tho,Silver
PROD-3879,CUST-77532,Electronics,666.51,3.025557461406518,42.0,Unknown,Can Tho,Platinum
PROD-1696,CUST-67185,Beauty,273.12,3.025557461406518,42.0,Other,Hanoi,Gold
PROD-6536,CUST-92671,Electronics,511.8782034454471,3.025557461406518,42.0,Female,Ho Chi Minh City,Platinum
PROD-4249,CUST-10833,Home & Kitchen,353.81,3.025557461406518,28.0,Unknown,Hai Phong,Gold
PROD-8983,CUST-24341,Clothing,352.47,3.025557461406518,42.0,Other,Da Nang,Platinum
PROD-3158,CUST-93992,Sports,511.8782034454471,3.025557461406518,42.0,Female,Hai Phong,Gold
PROD-9746,CUST-22001,Home & Kitchen,511.8782034454471,3.025557461406518,25.0,Unknown,Ho Chi Minh City,Platinum
PROD-3998,CUST-64307,Beauty,650.39,2.0,42.0,Male,Hanoi,Platinum
PROD-5930,CUST-46380,Electronics,511.8782034454471,3.025557461406518,42.0,Unknown,Ho Chi Minh City,Silver
PROD-1663,CUST-57164,Sports,511.8782034454471,3.1,42.0,Male,Ho Chi Minh City,Gold
PROD-2401,CUST-24678,Electronics,511.8782034454471,3.025557461406518,42.0,Male,Hanoi,Bronze
PROD-4344,CUST-69203,Beauty,511.8782034454471,3.025557461406518,42.0,Other,Hanoi,Bronze
PROD-5313,CUST-78658,Beauty,511.8782034454471,3.4,42.0,Unknown,Da Nang,Gold
PROD-2678,CUST-73769,Electronics,511.8782034454471,2.5,42.0,Male,Hanoi,Bronze
PROD-7838,CUST-69790,Electronics,511.8782034454471,3.025557461406518,42.0,Male,Hai Phong,Bronze
PROD-4050,CUST-62598,Electronics,511.8782034454471,3.025557461406518,42.0,Other,Ho Chi Minh City,Platinum
PROD-6838,CUST-57884,Home & Kitchen,511.8782034454471,2.7,38.0,Other,Hanoi,Silver
PROD-9167,CUST-25805,Beauty,813.05,1.1,42.0,Other,Da Nang,Silver
PROD-6830,CUST-48219,Home & Kitchen,511.8782034454471,2.9,46.0,Male,Hai Phong,Platinum
PROD-9480,CUST-54492,Beauty,258.0,1.7,56.0,Other,Hai Phong,Gold
PROD-4492,CUST-90503,Sports,33.66,3.8,42.0,Unknown,Ho Chi Minh City,Bronze
